source_path,target_path,confidence,matched_rule,old_title,new_title
0.DailyNotes\2025-12-19-开发过程中的关键不变量.md,UNCATEGORIZED\开发过程中的关键不变量.md,LOW,未匹配任何规则,2025-12-19-开发过程中的关键不变量.md,开发过程中的关键不变量.md
0.DailyNotes\2025-12-19-极度耐心+极度爆发.md,2.Topics/Coding/工程实践/极度耐心+极度爆发.md,MEDIUM,D2-内容关键词,2025-12-19-极度耐心+极度爆发.md,极度耐心+极度爆发.md
0.DailyNotes\2025-12-19-源码阅读的蜜蜂算法.md,2.Topics/Coding/工程实践/源码阅读的蜜蜂算法.md,MEDIUM,D2-内容关键词,2025-12-19-源码阅读的蜜蜂算法.md,源码阅读的蜜蜂算法.md
0.DailyNotes\2025-12-19-蜜蜂算法.md,2.Topics/Coding/工程实践/蜜蜂算法.md,MEDIUM,D2-内容关键词,2025-12-19-蜜蜂算法.md,蜜蜂算法.md
0.DailyNotes\2025-12-20-商业模式画布.md,2.Topics/创业与产品/商业模式画布.md,HIGH,J-商业模式,2025-12-20-商业模式画布.md,商业模式画布.md
0.DailyNotes\2025-12-20-常用开发标记.md,2.Topics/Coding/工程实践/常用开发标记.md,HIGH,D1-开发标记,2025-12-20-常用开发标记.md,常用开发标记.md
0.DailyNotes\2025-12-22-AI大模型知识体系.md,2.Topics/Coding/AI与大模型/AI大模型知识体系.md,HIGH,C1-AI,2025-12-22-AI大模型知识体系.md,AI大模型知识体系.md
0.DailyNotes\2025-12-25-喜剧的一种可能的境界.md,UNCATEGORIZED\喜剧的一种可能的境界.md,LOW,未匹配任何规则,2025-12-25-喜剧的一种可能的境界.md,喜剧的一种可能的境界.md
0.DailyNotes\2025-12-27-Bezos.md,2.Topics/创业与产品/Bezos.md,HIGH,J-Bezos,2025-12-27-Bezos.md,Bezos.md
0.DailyNotes\2025-12-30-Baby Steps 计划.md,2.Topics/Coding/工程实践/Baby Steps 计划.md,MEDIUM,D2-内容关键词,2025-12-30-Baby Steps 计划.md,Baby Steps 计划.md
0.DailyNotes\2025-12-30-You 2.0 Stop Spiraling!.md,2.Topics/Coding/工程实践/You 2.0 Stop Spiraling!.md,MEDIUM,D2-内容关键词,2025-12-30-You 2.0 Stop Spiraling!.md,You 2.0 Stop Spiraling!.md
0.DailyNotes\2025-12-30-课堂讨论活动设计指南.md,UNCATEGORIZED\课堂讨论活动设计指南.md,LOW,未匹配任何规则,2025-12-30-课堂讨论活动设计指南.md,课堂讨论活动设计指南.md
0.DailyNotes\2025-12-30-跨领域播客 Transcript 快速框架构建法.md,2.Topics/Coding/系统设计/跨领域播客 Transcript 快速框架构建法.md,HIGH,B1-架构,2025-12-30-跨领域播客 Transcript 快速框架构建法.md,跨领域播客 Transcript 快速框架构建法.md
0.DailyNotes\2025-12-31-hacker mindset.md,2.Topics/认知科学/思维模型/hacker mindset.md,HIGH,F1-hacker,2025-12-31-hacker mindset.md,hacker mindset.md
0.DailyNotes\2025-12-31-分布式集体组合策略.md,2.Topics/Coding/系统设计/分布式集体组合策略.md,HIGH,B1-分布式,2025-12-31-分布式集体组合策略.md,分布式集体组合策略.md
0.DailyNotes\2025-12-31-系统设计与架构模式.md,2.Topics/Coding/系统设计/系统设计与架构模式.md,HIGH,B1-系统设计,2025-12-31-系统设计与架构模式.md,系统设计与架构模式.md
0.DailyNotes\2026-01-05-2026年软件开发趋势预测.md,2.Topics/Coding/工程实践/2026年软件开发趋势预测.md,MEDIUM,D2-内容关键词,2026-01-05-2026年软件开发趋势预测.md,2026年软件开发趋势预测.md
0.DailyNotes\2026-01-05-LeetCode 的竞赛知识点.md,3.Resources/学习资料/学习路径/LeetCode 的竞赛知识点.md,HIGH,K1-LeetCode,2026-01-05-LeetCode 的竞赛知识点.md,LeetCode 的竞赛知识点.md
0.DailyNotes\2026-01-05-极端帕累托.md,2.Topics/认知科学/决策框架/极端帕累托.md,HIGH,F2-帕累托,2026-01-05-极端帕累托.md,极端帕累托.md
0.DailyNotes\2026-01-07-用程序员的逻辑整理你的笔记系统.md,2.Topics/Coding/工程实践/用程序员的逻辑整理你的笔记系统.md,MEDIUM,D2-内容关键词,2026-01-07-用程序员的逻辑整理你的笔记系统.md,用程序员的逻辑整理你的笔记系统.md
0.DailyNotes\2026-01-07-达里奥“机器思维”.md,2.Topics/Coding/工程实践/达里奥“机器思维”.md,MEDIUM,D2-内容关键词,2026-01-07-达里奥“机器思维”.md,达里奥“机器思维”.md
0.DailyNotes\2026-01-09-Strategy Crystallizer Output.md,2.Topics/写作与英语/写作技巧/Strategy Crystallizer Output.md,MEDIUM,I2-内容关键词,2026-01-09-Strategy Crystallizer Output.md,Strategy Crystallizer Output.md
0.DailyNotes\2026-01-09-从“现象”到“结构”.md,2.Topics/Coding/系统设计/从“现象”到“结构”.md,HIGH,B2-内容关键词,2026-01-09-从“现象”到“结构”.md,从“现象”到“结构”.md
0.DailyNotes\2026-01-10-精英复利指标.md,2.Topics/个人效能/生产力系统/精英复利指标.md,HIGH,G2-复利,2026-01-10-精英复利指标.md,精英复利指标.md
0.DailyNotes\2026-01-11-FabricAI智能助手.md,2.Topics/Coding/AI与大模型/FabricAI智能助手.md,HIGH,C1-AI,2026-01-11-FabricAI智能助手.md,FabricAI智能助手.md
0.DailyNotes\2026-01-12-TanStack等四个现代框架深度对比.md,2.Topics/Coding/数据库与存储/TanStack等四个现代框架深度对比.md,MEDIUM,E2-内容关键词,2026-01-12-TanStack等四个现代框架深度对比.md,TanStack等四个现代框架深度对比.md
0.DailyNotes\2026-01-13-无人机与嵌入式系统的关系.md,UNCATEGORIZED\无人机与嵌入式系统的关系.md,LOW,未匹配任何规则,2026-01-13-无人机与嵌入式系统的关系.md,无人机与嵌入式系统的关系.md
0.DailyNotes\2026-01-15-无人机与嵌入式系统关系图谱.md,UNCATEGORIZED\无人机与嵌入式系统关系图谱.md,LOW,未匹配任何规则,2026-01-15-无人机与嵌入式系统关系图谱.md,无人机与嵌入式系统关系图谱.md
0.DailyNotes\2026-01-15-程序员能力投入比例实战指南.md,2.Topics/Coding/系统设计/程序员能力投入比例实战指南.md,HIGH,B2-内容关键词,2026-01-15-程序员能力投入比例实战指南.md,程序员能力投入比例实战指南.md
0.DailyNotes\2026-01-16-.md,UNCATEGORIZED\-.md,LOW,未匹配任何规则,2026-01-16-.md,-.md
0.DailyNotes\2026-01-17-我遗憾没有早点学到的 25 个生活教训.md,UNCATEGORIZED\我遗憾没有早点学到的 25 个生活教训.md,LOW,未匹配任何规则,2026-01-17-我遗憾没有早点学到的 25 个生活教训.md,我遗憾没有早点学到的 25 个生活教训.md
0.DailyNotes\2026-01-19-skills选型策略.md,2.Topics/Coding/AI与大模型/skills选型策略.md,MANUAL,人工调整,2026-01-19-skills选型策略.md,skills选型策略.md
0.DailyNotes\2026-01-19-程序员职业决策框架.md,2.Topics/个人效能/职业发展/程序员职业决策框架.md,MANUAL,人工调整,2026-01-19-程序员职业决策框架.md,程序员职业决策框架.md
0.DailyNotes\2026-01-19-红灯告警.md,UNCATEGORIZED\红灯告警.md,LOW,未匹配任何规则,2026-01-19-红灯告警.md,红灯告警.md
0.DailyNotes\2026-01-20-AI能力–采用率鸿沟.md,2.Topics/Coding/AI与大模型/AI能力–采用率鸿沟.md,MANUAL,人工调整,2026-01-20-AI能力–采用率鸿沟.md,AI能力–采用率鸿沟.md
0.DailyNotes\2026-01-21-.md,2.Topics/Coding/AI与大模型/-.md,HIGH,C2-Prompt,2026-01-21-.md,-.md
0.DailyNotes\48小时学习计划.md,2.Topics/Coding/系统设计/48小时学习计划.md,HIGH,B2-内容关键词,48小时学习计划.md,48小时学习计划.md
0.DailyNotes\@每日速记笔记.md,0.DailyNotes/特殊文件/@每日速记笔记.md,SPECIAL,模板文件,@每日速记笔记.md,@每日速记笔记.md
0.DailyNotes\AI 协作白皮书.md,2.Topics/Coding/AI与大模型/AI 协作白皮书.md,MANUAL,人工调整,AI 协作白皮书.md,AI 协作白皮书.md
0.DailyNotes\B站推荐系统设计.md,2.Topics/Coding/系统设计/B站推荐系统设计.md,MANUAL,人工调整,B站推荐系统设计.md,B站推荐系统设计.md
0.DailyNotes\commit 和 PR的选择.md,2.Topics/Coding/工程实践/commit 和 PR的选择.md,MANUAL,人工调整,commit 和 PR的选择.md,commit 和 PR的选择.md
0.DailyNotes\CPython源码阅读与理解.md,2.Topics/Coding/语言指南/CPython源码阅读与理解.md,MANUAL,人工调整,CPython源码阅读与理解.md,CPython源码阅读与理解.md
0.DailyNotes\HIIT训练指南.md,2.Topics/Coding/工程实践/HIIT训练指南.md,MEDIUM,D2-内容关键词,HIIT训练指南.md,HIIT训练指南.md
0.DailyNotes\IOC（控制反转）和 DI（依赖注入）.md,2.Topics/Coding/系统设计/IOC（控制反转）和 DI（依赖注入）.md,MANUAL,人工调整,IOC（控制反转）和 DI（依赖注入）.md,IOC（控制反转）和 DI（依赖注入）.md
0.DailyNotes\Java 并发革命：虚拟线程实战指南（2025 工业级应用）.md,2.Topics/Coding/语言指南/Java 并发革命：虚拟线程实战指南（2025 工业级应用）.md,HIGH,A1-语言:Java,Java 并发革命：虚拟线程实战指南（2025 工业级应用）.md,Java 并发革命：虚拟线程实战指南（2025 工业级应用）.md
0.DailyNotes\Java 注解.md,2.Topics/Coding/语言指南/Java 注解.md,MANUAL,人工调整,Java 注解.md,Java 注解.md
0.DailyNotes\non-obvious-only principle.md,2.Topics/认知科学/思维模型/non-obvious-only principle.md,MANUAL,人工调整,non-obvious-only principle.md,non-obvious-only principle.md
0.DailyNotes\Plan文档比较与实例.md,2.Topics/Coding/工程实践/Plan文档比较与实例.md,MANUAL,人工调整,Plan文档比较与实例.md,Plan文档比较与实例.md
0.DailyNotes\PostgreSQL开发者实战指南.md,2.Topics/Coding/语言指南/PostgreSQL开发者实战指南.md,HIGH,A1-语言:SQL,PostgreSQL开发者实战指南.md,PostgreSQL开发者实战指南.md
0.DailyNotes\Pydantic的数据验证机制和性能优化.md,2.Topics/Coding/语言指南/Pydantic的数据验证机制和性能优化.md,HIGH,A1-语言:Pydantic,Pydantic的数据验证机制和性能优化.md,Pydantic的数据验证机制和性能优化.md
0.DailyNotes\Python 系统设计 6 小时突破方案.md,2.Topics/Coding/语言指南/Python 系统设计 6 小时突破方案.md,HIGH,A1-语言:Python,Python 系统设计 6 小时突破方案.md,Python 系统设计 6 小时突破方案.md
0.DailyNotes\Python代码注释规范自适应提示词.md,2.Topics/Coding/语言指南/Python代码注释规范自适应提示词.md,HIGH,A1-语言:Python,Python代码注释规范自适应提示词.md,Python代码注释规范自适应提示词.md
0.DailyNotes\Python生态深度 × 能量节律优化.md,2.Topics/Coding/语言指南/Python生态深度 × 能量节律优化.md,HIGH,A1-语言:Python,Python生态深度 × 能量节律优化.md,Python生态深度 × 能量节律优化.md
0.DailyNotes\RFC战略框架.md,2.Topics/Coding/工程实践/RFC战略框架.md,MANUAL,人工调整,RFC战略框架.md,RFC战略框架.md
0.DailyNotes\Roadmap.md,2.Topics/Coding/工程实践/Roadmap.md,MEDIUM,D2-内容关键词,Roadmap.md,Roadmap.md
0.DailyNotes\Rust 异步与并发系统学习路径.md,2.Topics/Coding/语言指南/Rust 异步与并发系统学习路径.md,HIGH,A1-语言:Rust,Rust 异步与并发系统学习路径.md,Rust 异步与并发系统学习路径.md
0.DailyNotes\Rust生产级综合开发技能学习系统提示词模板.md,2.Topics/Coding/语言指南/Rust生产级综合开发技能学习系统提示词模板.md,HIGH,A1-语言:Rust,Rust生产级综合开发技能学习系统提示词模板.md,Rust生产级综合开发技能学习系统提示词模板.md
0.DailyNotes\sequential - thinking的适用场景.md,2.Topics/Coding/AI与大模型/sequential - thinking的适用场景.md,MANUAL,人工调整,sequential - thinking的适用场景.md,sequential - thinking的适用场景.md
0.DailyNotes\Spec-Driven Development（规格驱动开发）.md,2.Topics/Coding/工程实践/Spec-Driven Development（规格驱动开发）.md,HIGH,D1-Spec-Driven,Spec-Driven Development（规格驱动开发）.md,Spec-Driven Development（规格驱动开发）.md
0.DailyNotes\Spec-Kit 规范即代码.md,2.Topics/Coding/工程实践/Spec-Kit 规范即代码.md,MANUAL,人工调整,Spec-Kit 规范即代码.md,Spec-Kit 规范即代码.md
0.DailyNotes\SpecKit四个阶段.md,2.Topics/Coding/工程实践/SpecKit四个阶段.md,MEDIUM,D2-内容关键词,SpecKit四个阶段.md,SpecKit四个阶段.md
0.DailyNotes\TDD 驱动良好设计的 Go 语言实战案例.md,2.Topics/Coding/语言指南/TDD 驱动良好设计的 Go 语言实战案例.md,HIGH,A1-语言:Go,TDD 驱动良好设计的 Go 语言实战案例.md,TDD 驱动良好设计的 Go 语言实战案例.md
0.DailyNotes\Tech Stack Selection Guide Build Smart Not Overcomplicated.md,2.Topics/Coding/语言指南/Tech Stack Selection Guide Build Smart Not Overcomplicated.md,MANUAL,人工调整,Tech Stack Selection Guide Build Smart Not Overcomplicated.md,Tech Stack Selection Guide Build Smart Not Overcomplicated.md
0.DailyNotes\Testing and Quality Assurance Agent.md,2.Topics/Coding/工程实践/Testing and Quality Assurance Agent.md,MANUAL,人工调整,Testing and Quality Assurance Agent.md,Testing and Quality Assurance Agent.md
0.DailyNotes\The Effective Engineer GPT5.1high版本.md,2.Topics/Coding/AI与大模型/The Effective Engineer GPT5.1high版本.md,MANUAL,人工调整,The Effective Engineer GPT5.1high版本.md,The Effective Engineer GPT5.1high版本.md
0.DailyNotes\The Effective Engineer.md,2.Topics/个人效能/职业发展/The Effective Engineer.md,MANUAL,人工调整,The Effective Engineer.md,The Effective Engineer.md
0.DailyNotes\the-book-of-secret-knowledge.md,2.Topics/Coding/AI与大模型/the-book-of-secret-knowledge.md,MANUAL,人工调整,the-book-of-secret-knowledge.md,the-book-of-secret-knowledge.md
0.DailyNotes\TypeScript 编译器用Go改写.md,2.Topics/Coding/语言指南/TypeScript 编译器用Go改写.md,HIGH,A1-语言:Go,TypeScript 编译器用Go改写.md,TypeScript 编译器用Go改写.md
0.DailyNotes\Watch out for grab-bags.md,2.Topics/Coding/工程实践/Watch out for grab-bags.md,MANUAL,人工调整,Watch out for grab-bags.md,Watch out for grab-bags.md
0.DailyNotes\_Index_of_0.DailyNotes.md,0.DailyNotes/特殊文件/_Index_of_0.DailyNotes.md,SPECIAL,索引文件,_Index_of_0.DailyNotes.md,_Index_of_0.DailyNotes.md
0.DailyNotes\产品经理视角.md,2.Topics/创业与产品/产品方法论/产品经理视角.md,MANUAL,人工调整,产品经理视角.md,产品经理视角.md
0.DailyNotes\从 Code Review 到挑战性项目.md,2.Topics/Coding/工程实践/从 Code Review 到挑战性项目.md,MANUAL,人工调整,从 Code Review 到挑战性项目.md,从 Code Review 到挑战性项目.md
0.DailyNotes\从编码量到编码素养的系统化训练路径.md,2.Topics/Coding/工程实践/从编码量到编码素养的系统化训练路径.md,MANUAL,人工调整,从编码量到编码素养的系统化训练路径.md,从编码量到编码素养的系统化训练路径.md
0.DailyNotes\代码认知负荷：高效工程的底层度量.md,2.Topics/Coding/系统设计/代码认知负荷：高效工程的底层度量.md,MANUAL,人工调整,代码认知负荷：高效工程的底层度量.md,代码认知负荷：高效工程的底层度量.md
0.DailyNotes\代码质量分析和代码审查.md,2.Topics/Coding/工程实践/代码质量分析和代码审查.md,MANUAL,人工调整,代码质量分析和代码审查.md,代码质量分析和代码审查.md
0.DailyNotes\使用向量操作SIMD优化.md,2.Topics/Coding/语言指南/使用向量操作SIMD优化.md,MANUAL,人工调整,使用向量操作SIMD优化.md,使用向量操作SIMD优化.md
0.DailyNotes\健身塑形系统训练指南.md,2.Topics/健康生活/训练协议/健身塑形系统训练指南.md,HIGH,H1-健身,健身塑形系统训练指南.md,健身塑形系统训练指南.md
0.DailyNotes\原则驱动行动.md,2.Topics/Coding/工程实践/原则驱动行动.md,MEDIUM,D2-内容关键词,原则驱动行动.md,原则驱动行动.md
0.DailyNotes\單頁黃金法則.md,UNCATEGORIZED\單頁黃金法則.md,LOW,未匹配任何规则,單頁黃金法則.md,單頁黃金法則.md
0.DailyNotes\在项目中包含数百个可运行的 example.rs文件.md,UNCATEGORIZED\在项目中包含数百个可运行的 example.rs文件.md,LOW,未匹配任何规则,在项目中包含数百个可运行的 example.rs文件.md,在项目中包含数百个可运行的 example.rs文件.md
0.DailyNotes\多智能体系统如何像顶尖研究团队一样协同工作.md,2.Topics/Coding/AI与大模型/多智能体系统如何像顶尖研究团队一样协同工作.md,HIGH,C1-智能,多智能体系统如何像顶尖研究团队一样协同工作.md,多智能体系统如何像顶尖研究团队一样协同工作.md
0.DailyNotes\多线程的主要用途.md,2.Topics/Coding/数据库与存储/多线程的主要用途.md,MEDIUM,E2-内容关键词,多线程的主要用途.md,多线程的主要用途.md
0.DailyNotes\如何像程序员一样思考.md,2.Topics/Coding/工程实践/如何像程序员一样思考.md,MEDIUM,D2-内容关键词,如何像程序员一样思考.md,如何像程序员一样思考.md
0.DailyNotes\如何快速有效获取特定领域知识.md,2.Topics/Coding/工程实践/如何快速有效获取特定领域知识.md,MEDIUM,D2-内容关键词,如何快速有效获取特定领域知识.md,如何快速有效获取特定领域知识.md
0.DailyNotes\实体类在开发中的作用.md,2.Topics/Coding/数据库与存储/实体类在开发中的作用.md,MEDIUM,E2-内容关键词,实体类在开发中的作用.md,实体类在开发中的作用.md
0.DailyNotes\实时应用架构设计指南.md,2.Topics/Coding/系统设计/实时应用架构设计指南.md,HIGH,B1-架构,实时应用架构设计指南.md,实时应用架构设计指南.md
0.DailyNotes\工效理论.md,2.Topics/认知科学/思维模型/工效理论.md,MANUAL,人工调整,工效理论.md,工效理论.md
0.DailyNotes\恰当的抽象.md,2.Topics/Coding/系统设计/恰当的抽象.md,MANUAL,人工调整,恰当的抽象.md,恰当的抽象.md
0.DailyNotes\技术移民线路图反向分析.md,UNCATEGORIZED\技术移民线路图反向分析.md,LOW,未匹配任何规则,技术移民线路图反向分析.md,技术移民线路图反向分析.md
0.DailyNotes\按能力维度精选开源项目清单.md,2.Topics/Coding/工程实践/按能力维度精选开源项目清单.md,MANUAL,人工调整,按能力维度精选开源项目清单.md,按能力维度精选开源项目清单.md
0.DailyNotes\数据库类型的最佳使用场景.md,2.Topics/Coding/数据库与存储/数据库类型的最佳使用场景.md,MANUAL,人工调整,数据库类型的最佳使用场景.md,数据库类型的最佳使用场景.md
0.DailyNotes\文档化Planning.md,2.Topics/Coding/工程实践/文档化Planning.md,MANUAL,人工调整,文档化Planning.md,文档化Planning.md
0.DailyNotes\有序带来效率.md,2.Topics/个人效能/生产力系统/有序带来效率.md,MANUAL,人工调整,有序带来效率.md,有序带来效率.md
0.DailyNotes\权利的48条法则.md,2.Topics/个人效能/生产力系统/权利的48条法则.md,MANUAL,人工调整,权利的48条法则.md,权利的48条法则.md
0.DailyNotes\每日固定动作.md,2.Topics/认知科学/行动协议/每日固定动作.md,HIGH,F3-每日固定,每日固定动作.md,每日固定动作.md
0.DailyNotes\独立开发陷阱.md,2.Topics/创业与产品/商业模式/独立开发陷阱.md,MANUAL,人工调整,独立开发陷阱.md,独立开发陷阱.md
0.DailyNotes\知识库健康度评估矩阵.md,2.Topics/认知科学/学习系统/知识库健康度评估矩阵.md,MANUAL,人工调整,知识库健康度评估矩阵.md,知识库健康度评估矩阵.md
0.DailyNotes\程序员幸福力重建手册.md,2.Topics/个人效能/职业发展/程序员幸福力重建手册.md,MANUAL,人工调整,程序员幸福力重建手册.md,程序员幸福力重建手册.md
0.DailyNotes\程序员的思维跃迁原则.md,2.Topics/认知科学/思维模型/程序员的思维跃迁原则.md,MANUAL,人工调整,程序员的思维跃迁原则.md,程序员的思维跃迁原则.md
0.DailyNotes\程序员的深度反思.md,2.Topics/个人效能/职业发展/程序员的深度反思.md,MANUAL,人工调整,程序员的深度反思.md,程序员的深度反思.md
0.DailyNotes\策略结晶容器.md,2.Topics/个人效能/生产力系统/策略结晶容器.md,MANUAL,人工调整,策略结晶容器.md,策略结晶容器.md
0.DailyNotes\简胜于繁.md,2.Topics/认知科学/思维模型/简胜于繁.md,MANUAL,人工调整,简胜于繁.md,简胜于繁.md
0.DailyNotes\精英惯用四库速查清单.md,2.Topics/个人效能/生产力系统/精英惯用四库速查清单.md,MANUAL,人工调整,精英惯用四库速查清单.md,精英惯用四库速查清单.md
0.DailyNotes\线上应用性能瓶颈与报错排查思路.md,2.Topics/Coding/系统设计/线上应用性能瓶颈与报错排查思路.md,HIGH,B2-内容关键词,线上应用性能瓶颈与报错排查思路.md,线上应用性能瓶颈与报错排查思路.md
0.DailyNotes\编程专业思维指南.md,2.Topics/认知科学/思维模型/编程专业思维指南.md,MANUAL,人工调整,编程专业思维指南.md,编程专业思维指南.md
0.DailyNotes\编程范式与思维模式映射.md,2.Topics/Coding/系统设计/编程范式与思维模式映射.md,MANUAL,人工调整,编程范式与思维模式映射.md,编程范式与思维模式映射.md
0.DailyNotes\语篇能力培养.md,2.Topics/写作与英语/写作技巧/语篇能力培养.md,MANUAL,人工调整,语篇能力培养.md,语篇能力培养.md
0.DailyNotes\避开“认知突破”的幻觉.md,2.Topics/Coding/工程实践/避开“认知突破”的幻觉.md,MEDIUM,D2-内容关键词,避开“认知突破”的幻觉.md,避开“认知突破”的幻觉.md
0.DailyNotes\问题模式：跨语言解题内核.md,2.Topics/Coding/语言指南/问题模式：跨语言解题内核.md,MANUAL,人工调整,问题模式：跨语言解题内核.md,问题模式：跨语言解题内核.md
0.DailyNotes\非传统开发者的成长指南.md,2.Topics/个人效能/职业发展/非传统开发者的成长指南.md,MANUAL,人工调整,非传统开发者的成长指南.md,非传统开发者的成长指南.md
0.DailyNotes\面向长期演化的个人知识操作系统.md,2.Topics/认知科学/学习系统/面向长期演化的个人知识操作系统.md,MANUAL,人工调整,面向长期演化的个人知识操作系统.md,面向长期演化的个人知识操作系统.md
0.DailyNotes\高效学习 Python 系统设计.md,2.Topics/Coding/语言指南/高效学习 Python 系统设计.md,HIGH,A1-语言:Python,高效学习 Python 系统设计.md,高效学习 Python 系统设计.md
0.DailyNotes\0.mindset\.md,0.DailyNotes/特殊文件/.md,SPECIAL,系统文件,.md,.md
0.DailyNotes\0.mindset\10x 实战手册.md,2.Topics/认知科学/思维模型/10x 实战手册.md,MANUAL,0.mindset-批量调整,10x 实战手册.md,10x 实战手册.md
0.DailyNotes\0.mindset\2025-11-24-提升味觉触觉嗅觉.md,UNCATEGORIZED\提升味觉触觉嗅觉.md,LOW,未匹配任何规则,2025-11-24-提升味觉触觉嗅觉.md,提升味觉触觉嗅觉.md
